ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv
600031.SH,600031,三一重工,2024-04-01,13.58,13.91,13.93,13.54,1061937.0,1581574718.0,2.96,qfq,1.82914499,1.6335144,127116388750.26
600031.SH,600031,三一重工,2024-04-02,13.89,13.86,14.21,13.8,776585.0,1170682699.0,-0.36,qfq,1.8230397,1.62806208,126692101738.41
600031.SH,600031,三一重工,2024-04-03,13.83,13.76,13.85,13.69,422219.0,626181590.0,-0.72,qfq,1.81082912,1.61715744,125843527714.71
600031.SH,600031,三一重工,2024-04-08,13.69,14.01,14.12,13.58,843316.0,1263920651.0,1.82,qfq,1.84135557,1.64441903,127964962773.96
600031.SH,600031,三一重工,2024-04-09,13.95,13.99,14.28,13.93,721057.0,1093234299.0,-0.14,qfq,1.83891345,1.6422381,127795247969.22
600031.SH,600031,三一重工,2024-04-10,14.03,14.3,14.48,14.03,1168690.0,1802502771.0,2.22,qfq,1.87676625,1.67604247,130425827442.69
600031.SH,600031,三一重工,2024-04-11,14.29,14.88,15.12,14.2,1687882.0,2679674233.0,4.06,qfq,1.94758762,1.73928936,135347556780.15
600031.SH,600031,三一重工,2024-04-12,14.93,14.55,14.98,14.48,942944.0,1481597409.0,-2.22,qfq,1.9072927,1.70330406,132547262501.94
600031.SH,600031,三一重工,2024-04-15,14.49,14.76,14.99,14.45,1045317.0,1654682872.0,1.44,qfq,1.93293492,1.7262038,134329267951.71
600031.SH,600031,三一重工,2024-04-16,14.65,14.24,14.71,14.21,910466.0,1407177836.0,-3.52,qfq,1.8694399,1.66949969,129916683028.47
600031.SH,600031,三一重工,2024-04-17,14.23,15.04,15.08,14.11,1391234.0,2186269152.0,5.62,qfq,1.96712455,1.75673678,136705275218.07
600031.SH,600031,三一重工,2024-04-18,14.86,14.66,15.06,14.62,951782.0,1510803387.0,-2.53,qfq,1.92072434,1.71529916,133480693928.01
