ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv,ret_1d,ret_5d,ret_10d,volatility_20,ma_ratio_5_20,vol_ratio_5_20,rsi_14,high_low_range,Next_Ret,Label,log_mv
600031.SH,600031,三一重工,2024-05-06,15.47,15.86,15.93,15.41,1306690.0,2200612051.0,4.07,qfq,2.06725131,1.94540503,143663582212.41,0.04068241469816258,0.10368823938761307,0.054521276595744794,0.027359997707655126,1.0378118011353863,0.9779355120576736,59.42307692307692,0.03278688524590161,-0.003783102143757766,0,25.690740168632388
600031.SH,600031,三一重工,2024-05-07,15.78,15.8,15.97,15.74,531055.0,897685758.0,-0.38,qfq,2.05992496,1.93851051,143154437798.19,-0.003783102143757766,0.105668299510147,0.07776261937244211,0.027363848789974148,1.0515738747052188,1.0244846925887405,62.67748478701827,0.014556962025316481,-0.0132911392405064,0,25.68718986904522
600031.SH,600031,三一重工,2024-05-08,15.78,15.59,15.84,15.54,449594.0,750039303.0,-1.33,qfq,2.03428274,1.91437967,141372432348.42,-0.0132911392405064,0.04141616566466255,0.06198910081743869,0.02756209971541932,1.053461042048774,0.8670513362849287,58.41784989858014,0.019243104554201456,0.05131494547787052,1,25.67466360922604
600031.SH,600031,三一重工,2024-05-09,15.66,16.39,16.4,15.6,1251879.0,2163216455.0,5.13,qfq,2.13196739,2.00630667,148161024538.02,0.05131494547787052,0.08903654485049839,0.14936886395511917,0.02923862299718349,1.0630727762803236,0.9545113112938297,70.6333973128599,0.048810250152531966,-0.004270896888346587,0,25.7215655228988
600031.SH,600031,三一重工,2024-05-10,16.43,16.32,16.45,16.15,567536.0,985336930.0,-0.43,qfq,2.12341998,1.99826306,147567022721.43,-0.004270896888346587,0.07086614173228356,0.17579250720461093,0.029295153164722778,1.069234112258884,0.9179787075194269,64.2857142857143,0.018382352941176513,-0.001225490196078427,0,25.717548300853537
600031.SH,600031,三一重工,2024-05-13,16.18,16.3,16.5,16.04,571332.0,992346397.0,-0.12,qfq,2.12097786,1.99596488,147397307916.69,-0.001225490196078427,0.02774274905422458,0.13430758524704256,0.02917239136478818,1.0679772855577327,0.7796302452216834,69.90291262135925,0.028220858895705574,-0.026993865030674913,0,25.716397552740357
600031.SH,600031,三一重工,2024-05-14,16.29,15.86,16.42,15.77,962238.0,1635479936.0,-2.7,qfq,2.06725131,1.94540503,143663582212.41,-0.026993865030674913,0.0037974683544304,0.1098670398880337,0.028988316018972813,1.0653073383866805,0.917845207324313,62.99559471365639,0.040983606557377185,-0.008196721311475308,0,25.690740168632388
600031.SH,600031,三一重工,2024-05-15,15.86,15.73,16.0,15.7,478908.0,807579160.0,-0.82,qfq,2.05137755,1.9304669,142560435981.6,-0.008196721311475308,0.008980115458627314,0.05076820307281227,0.028498722072153114,1.0630090012858977,0.9515662355899931,67.29411764705884,0.01907183725365548,0.013986013986013957,1,25.68303185889656
600031.SH,600031,三一重工,2024-05-16,15.78,15.95,16.13,15.56,821383.0,1390817457.0,1.4,qfq,2.07824083,1.95574682,144427298833.74,0.013986013986013957,-0.02684563758389269,0.05980066445182719,0.028490521214676576,1.0530740935365213,0.8565703059898276,75.30562347188264,0.03573667711598737,0.0018808777429468737,1,25.69604209563257
600031.SH,600031,三一重工,2024-05-17,15.9,15.98,16.0,15.5,749973.0,1261416023.0,0.19,qfq,2.08190401,1.95919408,144681871040.85,0.0018808777429468737,-0.02083333333333337,0.04855643044619429,0.02694968045754319,1.042649075827836,0.9117254815988728,72.17630853994491,0.03128911138923655,-0.008760951188986232,0,25.69780317621687
600031.SH,600031,三一重工,2024-05-20,15.96,15.84,15.98,15.63,579553.0,977173897.0,-0.88,qfq,2.06480919,1.94310686,143493867407.67,-0.008760951188986232,-0.02822085889570558,-0.0012610340479192184,0.024391649283406994,1.0339391570581722,0.9635584914907313,71.00271002710028,0.022095959595959575,0.0006313131313131493,1,25.68955813539783
600031.SH,600031,三一重工,2024-05-21,15.84,15.85,15.96,15.78,339040.0,574421004.0,0.06,qfq,2.06603025,1.94425595,143578724810.04,0.0006313131313131493,-0.0006305170239596647,0.0031645569620253333,0.02348992919120619,1.0298173323383406,0.8305145577835468,64.56953642384104,0.011356466876971703,0.0006309148264984632,1,25.69014932666542
600031.SH,600031,三一重工,2024-05-22,15.85,15.86,15.96,15.69,429681.0,727796619.0,0.06,qfq,2.06725131,1.94540503,143663582212.41,0.0006309148264984632,0.008264462809917328,0.017318794098781343,0.023495108636270197,1.0275703804259995,0.823438189994508,63.72881355932202,0.01702395964691055,-0.013871374527112179,0,25.690740168632388
600031.SH,600031,三一重工,2024-05-23,15.86,15.64,15.9,15.56,428707.0,718239749.0,-1.39,qfq,2.04038803,1.92012511,141796719360.27,-0.013871374527112179,-0.019435736677115956,-0.045759609517998734,0.022629262109772584,1.0190172796601986,0.7253054924234406,56.71140939597316,0.021739130434782598,0.007672634271099765,1,25.677660315094645
600031.SH,600031,三一重工,2024-05-24,15.64,15.76,15.96,15.57,576708.0,975116150.0,0.77,qfq,2.05504073,1.93391416,142815008188.71,0.007672634271099765,-0.013767209011264159,-0.03431372549019607,0.021380328670497706,1.010075163921318,0.6811265046394851,47.98387096774194,0.02474619289340105,0.012690355329949332,1,25.684815980690058
600031.SH,600031,三一重工,2024-05-27,15.76,15.96,16.06,15.73,490352.0,832037270.0,1.27,qfq,2.07946189,1.95689591,144512156236.11,0.012690355329949332,0.007575757575757569,-0.020858895705521463,0.02035507128132499,1.0064918533604887,0.6663246015511513,53.05343511450381,0.0206766917293232,-0.0357142857142857,0,25.69662946716194
